iter	Passed	Remaining
0	153	153224
1	157	78710
2	161	53652
3	166	41481
4	170	33835
5	173	28705
6	176	25053
7	181	22517
8	185	20467
9	189	18726
10	192	17286
11	197	16249
12	201	15275
13	204	14423
14	207	13628
15	211	13017
16	215	12435
17	217	11892
18	220	11394
19	223	10941
20	227	10624
21	230	10267
22	233	9934
23	236	9629
24	239	9342
25	243	9129
26	246	8882
27	249	8651
28	251	8436
29	254	8230
30	259	8106
31	262	7936
32	265	7771
33	268	7616
34	271	7478
35	275	7372
36	278	7258
37	282	7150
38	285	7027
39	287	6909
40	291	6829
41	294	6724
42	297	6623
43	300	6523
44	302	6426
45	307	6372
46	310	6287
47	312	6204
48	315	6123
49	318	6045
50	322	5997
51	325	5928
52	327	5858
53	330	5791
54	333	5729
55	337	5685
56	340	5631
57	343	5571
58	345	5515
59	348	5459
60	351	5410
61	355	5380
62	358	5337
63	361	5287
64	364	5237
65	367	5199
66	371	5176
67	374	5139
68	377	5095
69	380	5054
70	383	5012
71	388	5010
72	391	4973
73	394	4938
74	397	4898
75	403	4900
76	407	4886
77	410	4854
78	414	4828
79	419	4827
80	422	4795
81	425	4761
82	428	4728
83	430	4696
84	434	4680
85	437	4650
86	440	4619
87	442	4589
88	445	4564
89	450	4557
90	453	4533
91	456	4508
92	459	4480
93	462	4457
94	466	4446
95	469	4425
96	473	4403
97	476	4386
98	481	4381
99	485	4368
100	506	4511
101	519	4577
102	532	4639
103	575	4954
104	587	5009
105	598	5050
106	606	5062
107	610	5038
108	615	5028
109	619	5008
110	621	4980
111	625	4956
112	637	5002
113	648	5036
114	651	5015
115	654	4987
116	657	4960
117	662	4949
118	666	4931
119	669	4909
120	672	4884
121	675	4860
122	680	4848
123	683	4829
124	686	4806
125	689	4781
126	694	4773
127	698	4755
128	700	4732
129	704	4711
130	707	4692
131	712	4683
132	715	4661
133	718	4640
134	720	4618
135	724	4605
136	728	4588
137	731	4568
138	734	4547
139	736	4525
140	741	4517
141	745	4504
142	748	4484
143	750	4463
144	753	4445
145	758	4439
146	761	4421
147	764	4402
148	767	4382
149	770	4363
150	774	4355
151	777	4339
152	780	4321
153	783	4302
154	786	4290
155	790	4277
156	794	4268
157	797	4250
158	800	4236
159	805	4226
160	808	4212
161	811	4195
162	813	4179
163	816	4162
164	820	4154
165	824	4141
166	827	4126
167	829	4110
168	832	4093
169	838	4093
170	843	4087
171	845	4072
172	848	4056
173	853	4053
174	856	4039
175	859	4023
176	861	4007
177	864	3991
178	869	3986
179	872	3974
180	875	3961
181	878	3946
182	883	3942
183	887	3935
184	890	3924
185	893	3909
186	896	3896
187	901	3892
188	904	3882
189	908	3872
190	911	3859
191	917	3862
192	921	3853
193	924	3842
194	927	3830
195	932	3827
196	936	3817
197	939	3805
198	942	3793
199	947	3789
200	951	3780
201	954	3769
202	957	3758
203	960	3748
204	965	3744
205	968	3734
206	972	3723
207	975	3714
208	982	3718
209	986	3711
210	989	3700
211	992	3690
212	998	3688
213	1001	3678
214	1004	3667
215	1007	3656
216	1013	3657
217	1016	3647
218	1020	3637
219	1023	3627
220	1028	3623
221	1032	3618
222	1036	3610
223	1040	3603
224	1046	3604
225	1051	3599
226	1056	3597
227	1062	3596
228	1065	3587
229	1068	3578
230	1073	3574
231	1078	3569
232	1082	3561
233	1085	3553
234	1092	3558
235	1097	3551
236	1101	3545
237	1107	3546
238	1111	3538
239	1114	3530
240	1119	3524
241	1126	3529
242	1130	3522
243	1134	3515
244	1143	3523
245	1147	3515
246	1150	3507
247	1156	3505
248	1160	3498
249	1163	3490
250	1167	3483
251	1172	3480
252	1176	3474
253	1180	3468
254	1185	3464
255	1190	3461
256	1194	3454
257	1198	3445
258	1203	3442
259	1206	3434
260	1209	3424
261	1212	3413
262	1214	3403
263	1221	3405
264	1225	3397
265	1227	3388
266	1230	3378
267	1235	3373
268	1238	3365
269	1241	3355
270	1243	3346
271	1246	3336
272	1251	3332
273	1254	3324
274	1257	3315
275	1260	3306
276	1263	3297
277	1267	3292
278	1271	3284
279	1273	3275
280	1276	3266
281	1280	3259
282	1285	3256
283	1288	3248
284	1291	3240
285	1294	3231
286	1299	3228
287	1302	3219
288	1305	3211
289	1307	3202
290	1311	3194
291	1315	3190
292	1319	3183
293	1322	3174
294	1325	3166
295	1329	3162
296	1333	3155
297	1335	3147
298	1338	3139
299	1341	3130
300	1347	3128
301	1350	3121
302	1353	3113
303	1356	3105
304	1362	3103
305	1366	3099
306	1369	3090
